rf_id,item,identico,similitud,palabras_eliminadas,palabras_anadidas,commit_aparicion_TB,fecha_aparicion_TB,texto_TA,texto_TB
RF-11,08,0,0.79,,"Cuando la cadena esté incompleta, el sistema muestra la etiqueta ""En proceso"" en el eslabón faltante.",446a828,2026-09-01 17:46 -0500,"El sistema deberá permitir consultar, a partir del número de arete o código de lote, la cadena completa de trazabilidad: granja de origen, guía de origen, faenamiento, pesaje, cámara y venta.","El sistema deberá permitir consultar, a partir del número de arete o código de lote, la cadena completa de trazabilidad: granja de origen, guía de origen, faenamiento, pesaje, cámara y venta. Cuando la cadena esté incompleta, el sistema muestra la etiqueta ""En proceso"" en el eslabón faltante."
RF-12,11,0,0.88,el resultado | diferencias.,diferencias en libras y valor monetario.,446a828,2026-09-01 17:46 -0500,"El sistema deberá permitir registrar un conteo físico semanal de inventario por cámara y comparar el resultado contra el inventario del sistema, calculando diferencias.","El sistema deberá permitir registrar un conteo físico semanal de inventario por cámara y comparar contra el inventario del sistema, calculando diferencias en libras y valor monetario."
RF-13,02,0,0.82,baja de producto.,baja. Los reportes también son filtrables por proveedor (derivado en RF-27).,446a828,2026-09-01 17:46 -0500,"El sistema deberá generar reportes filtrables por rango de fechas y tipo de producto, mostrando totales de ventas, compras y pérdidas por baja de producto.","El sistema deberá generar reportes filtrables por rango de fechas y tipo de producto, mostrando totales de ventas, compras y pérdidas por baja. Los reportes también son filtrables por proveedor (derivado en RF-27)."
RF-14,16,1,1.00,,,b921494,2026-08-02 23:37 -0500,"El sistema deberá presentar un panel gráfico con las ventas por tipo de producto, el cliente que más compró y el producto de mayor rotación en un período determinado.","El sistema deberá presentar un panel gráfico con las ventas por tipo de producto, el cliente que más compró y el producto de mayor rotación en un período determinado."
RF-15,14,0,0.73,,La autenticación MFA (TOTP) es obligatoria para roles con capacidad de aprobar bajas y configurar precios (RFC-02 aprobado).,446a828,2026-09-01 17:46 -0500,"El sistema deberá permitir crear, editar y desactivar usuarios, asignándoles uno de los roles definidos (propietaria, administrador general, encargado de bodega, carnicero).","El sistema deberá permitir crear, editar y desactivar usuarios, asignándoles uno de los roles definidos (propietaria, administrador general, encargado de bodega, carnicero). La autenticación MFA (TOTP) es obligatoria para roles con capacidad de aprobar bajas y configurar precios (RFC-02 aprobado)."
RF-16,09,0,0.68,cada local en,Las operaciones offline pendientes de sincronización no se incluyen en el cálculo de stock visible hasta que se sincronicen.,446a828,2026-09-01 17:46 -0500,"El sistema deberá registrar cada ingreso y egreso de producto por cámara y fecha, permitiendo consultar el stock disponible en cada local en un momento determinado.","El sistema deberá registrar cada ingreso y egreso de producto por cámara y fecha, permitiendo consultar el stock disponible en un momento determinado. Las operaciones offline pendientes de sincronización no se incluyen en el cálculo de stock visible hasta que se sincronicen."
RF-17,01,0,0.56,aproximadas | para enriquecer la consulta | trazabilidad.,"como flujo alternativo del CU-01. El campo es opcional pero, si se ingresa, valida rango | latitud/longitud de Ecuador continental con precisión mínima de 10 metros (+/-0,0001 grados decimales).",446a828,2026-09-01 17:46 -0500,"El sistema deberá permitir asociar coordenadas geográficas aproximadas de la granja de origen al perfil del proveedor, para enriquecer la consulta de trazabilidad.","El sistema deberá permitir asociar coordenadas geográficas de la granja de origen al perfil del proveedor, como flujo alternativo del CU-01. El campo es opcional pero, si se ingresa, valida rango de latitud/longitud de Ecuador continental con precisión mínima de 10 metros (+/-0,0001 grados decimales)."
RF-18,18,0,0.76,fechas.,"fechas, mostrando fecha de cambio, precio anterior, precio nuevo y usuario que lo modificó.",446a828,2026-09-01 17:46 -0500,El sistema deberá permitir consultar el histórico de precios por libra configurados para cada tipo de producto en un rango de fechas.,"El sistema deberá permitir consultar el histórico de precios por libra configurados para cada tipo de producto en un rango de fechas, mostrando fecha de cambio, precio anterior, precio nuevo y usuario que lo modificó."
RF-19,12,0,0.68,a la propietaria o al administrador general,No se permiten dos precios futuros con fechas de vigencia solapadas para el mismo tipo de producto.,446a828,2026-09-01 17:46 -0500,"El sistema deberá permitir a la propietaria o al administrador general configurar el precio por libra vigente para cada tipo de producto, con posibilidad de definir una fecha de vigencia futura.","El sistema deberá permitir configurar el precio por libra vigente para cada tipo de producto, con posibilidad de definir una fecha de vigencia futura. No se permiten dos precios futuros con fechas de vigencia solapadas para el mismo tipo de producto."
RF-20,05,0,0.98,"energía eléctrica,","energía,",446a828,2026-09-01 17:46 -0500,"El sistema deberá permitir registrar un incidente de corte de energía eléctrica, indicando fecha, hora de inicio, hora de restablecimiento y cámaras afectadas, como insumo para sustentar posibles bajas de producto.","El sistema deberá permitir registrar un incidente de corte de energía, indicando fecha, hora de inicio, hora de restablecimiento y cámaras afectadas, como insumo para sustentar posibles bajas de producto."
RF-21,27,0,0.64,conectividad.,"conectividad, en un máximo de 5 minutos. El modo offline se sostiene al menos 8 horas continuas. El fallback de MFA (pregunta de seguridad) está disponible en modo offline para los roles que lo requieren (RF-15).",446a828,2026-09-01 17:46 -0500,"El sistema deberá permitir registrar operaciones críticas de bodega (ingreso, pesaje) sin conexión a internet y sincronizarlas automáticamente al restablecerse la conectividad.","El sistema deberá permitir registrar operaciones críticas de bodega (ingreso, pesaje) sin conexión a internet y sincronizarlas automáticamente al restablecerse la conectividad, en un máximo de 5 minutos. El modo offline se sostiene al menos 8 horas continuas. El fallback de MFA (pregunta de seguridad) está disponible en modo offline para los roles que lo requieren (RF-15)."
RF-22,21,0,0.75,,El contador de vida útil del producto devuelto se conserva desde la fecha de ingreso original a cámara.,446a828,2026-09-01 17:46 -0500,"El sistema deberá permitir registrar la devolución total o parcial de un producto vendido, reingresándolo al inventario o dándolo de baja según su estado.","El sistema deberá permitir registrar la devolución total o parcial de un producto vendido, reingresándolo al inventario o dándolo de baja según su estado. El contador de vida útil del producto devuelto se conserva desde la fecha de ingreso original a cámara."
RF-23,10,0,0.79,su presentación,presentarla | El PDF incluye la firma veterinaria digitalizada (RFC-03 aprobado).,446a828,2026-09-01 17:46 -0500,"El sistema deberá permitir exportar, en PDF o CSV, la cadena de trazabilidad completa de un lote o animal para su presentación ante auditorías de Agrocalidad.","El sistema deberá permitir exportar, en PDF o CSV, la cadena de trazabilidad completa de un lote o animal para presentarla ante auditorías de Agrocalidad. El PDF incluye la firma veterinaria digitalizada (RFC-03 aprobado)."
RF-24,24,0,0.86,sección.,"sección, retornando resultados en menos de 2 segundos.",446a828,2026-09-01 17:46 -0500,"El sistema deberá permitir buscar y filtrar productos almacenados en cámaras frigoríficas por código de lote, tipo de producto o sección.","El sistema deberá permitir buscar y filtrar productos almacenados en cámaras frigoríficas por código de lote, tipo de producto o sección, retornando resultados en menos de 2 segundos."
RF-25,15,0,0.88,consulta | (RF-11) | externa.,vista | externa (campos delimitados según RF-26).,446a828,2026-09-01 17:46 -0500,"El sistema deberá generar un código QR asociado a cada lote o animal que, al ser escaneado, dirija a la consulta pública de trazabilidad (RF-11) con los datos autorizados para consulta externa.","El sistema deberá generar un código QR asociado a cada lote o animal que, al ser escaneado, dirija a la vista pública de trazabilidad con los datos autorizados para consulta externa (campos delimitados según RF-26)."
RF-26,19,1,1.00,,,446a828,2026-09-01 17:46 -0500,"El sistema deberá exponer, a través del enlace generado por el código QR (RF-25), únicamente los siguientes campos de la cadena de trazabilidad: nombre del proveedor, tipo de producto, fecha de ingreso a cámara, fecha de venta y número de guía de origen. No se exponen costos internos, datos personales de clientes ni información de inventario.","El sistema deberá exponer, a través del enlace generado por el código QR (RF-25), únicamente los siguientes campos de la cadena de trazabilidad: nombre del proveedor, tipo de producto, fecha de ingreso a cámara, fecha de venta y número de guía de origen. No se exponen costos internos, datos personales de clientes ni información de inventario."
RF-27,04,1,1.00,,,446a828,2026-09-01 17:46 -0500,"El sistema deberá permitir filtrar los reportes gerenciales (RF-13) por proveedor, generando un desglose de ventas, compras y pérdidas asociadas a cada proveedor dentro del período seleccionado.","El sistema deberá permitir filtrar los reportes gerenciales (RF-13) por proveedor, generando un desglose de ventas, compras y pérdidas asociadas a cada proveedor dentro del período seleccionado."
