ID,Ley-Art.,Objetivo,Interesado,EV,RF/RNF,CU,Flujo,HU,CA,Componente,Mockup
32,,Arquitectura mantenible,Equipo,,RNF-05,,,,Backend (todos),
33,,Acceso multi-navegador,Todos,,RNF-06,,,,Cliente-Web,
34,Art.38,Auditoría de bajas,Admin. gral.,EV-07,RNF-07,CU-10,,,Backend-Bajas,
35,,Cobertura RF Must MVP,Docente,EV-16,RNF-08,,,,MVP,
36,,Integración báscula,Bodega,,RNF-09,CU-03,,,Backend-Pesaje,
37,,Nuevos tipos producto,Propietaria,EV-11,RNF-10,,,,Backend-Precios,
38,,Reportes alto volumen,Propietaria,EV-08,RNF-11,CU-12,,,Backend-Reportes,
39,Art.30,Cifrado datos,Todos,,RNF-12,,,,Backend/BD,
40,,Accesibilidad táctil,Bodega,EV-09,RNF-13,CU-01,,,Cliente-Móvil,
41,,Recuperabilidad offline,Bodega,EV-13,RNF-14,CU-01/03,HU-21,CA-21,Cliente-Offline,
42,,Calidad código MVP,Docente,EV-16,RNF-15,,,,MVP,
43,,Predicción demanda semanal,Propietaria,EV-08,RF-IA-01,,,,IA-PredictorDemanda,
44,,Intervalo de confianza pred.,Propietaria,EV-08,RF-IA-02,,,,IA-PredictorDemanda,
45,,Fallback predictor,Propietaria,"EV-08,12",RF-IA-03,,,,IA-PredictorDemanda,
46,,MAE predictor <=10 lb,Propietaria,EV-08,RNF-IA-01,,,,IA-PredictorDemanda,
47,,Inferencia <5s predictor,Propietaria,EV-08,RNF-IA-02,,,,IA-PredictorDemanda,
48,,Escalabilidad predictor,Propietaria,EV-08,RNF-IA-03,,,,IA-PredictorDemanda,
49,,Equidad por temporada,Propietaria,EV-08,RNF-IA-04,,,,IA-PredictorDemanda,
50,,Equidad por tipo corte,Propietaria,EV-08,RNF-IA-05,,,,IA-PredictorDemanda,
51,,Explicabilidad pred.,Propietaria,EV-08,RNF-IA-06,,,,IA-PredictorDemanda,
52,,Clasificar riesgo incidente,Admin. gral.,EV-12,RF-IA-04,CU-10,,,IA-DetectorAnomalias,
53,,Prob. y recomendación,Admin. gral.,EV-12,RF-IA-05,CU-10,,,IA-DetectorAnomalias,
54,,Registrar decisión admin.,Admin. gral.,EV-12,RF-IA-06,CU-10,,,IA-DetectorAnomalias,
55,,Recall >=0.90 detector,Admin. gral.,EV-12,RNF-IA-07,,,,IA-DetectorAnomalias,
56,,Inferencia <2s detector,Admin. gral.,EV-12,RNF-IA-08,,,,IA-DetectorAnomalias,
57,,Fallback <500ms,Admin. gral.,EV-12,RNF-IA-09,,,,IA-DetectorAnomalias,
58,,Equidad por producto,Admin. gral.,EV-12,RNF-IA-10,,,,IA-DetectorAnomalias,
59,,Equidad por horario,Admin. gral.,EV-12,RNF-IA-11,,,,IA-DetectorAnomalias,
60,,Explicabilidad detector,Admin. gral.,EV-12,RNF-IA-12,,,,IA-DetectorAnomalias,
61,,Exactitud del detector de ambigüedad,Verificador de calidad,EV-12,RNF-IA-13,,,CP-IA-13,DET-01,
62,,Supervisión humana de marcas del detector,Admin. gral.,EV-12,RNF-IA-14,,,CP-IA-14,DET-01,
63,,Monitoreo continuo en producción,Admin. gral.,EV-12,RNF-IA-15,,,CP-IA-15,DET-01,
64,,Clasificación y revisión del nivel de riesgo,Líder del equipo,EV-12,RNF-IA-16,,,CP-IA-16,DET-01,
65,,Explicabilidad del detector de ambigüedad,Documentador del equipo,EV-12,RNF-IA-17,,,CP-IA-17,DET-01,
66,,Equidad del detector entre categorías de requisito,Verificador de calidad,EV-12,RNF-IA-18,,,CP-IA-18,DET-01,
