rf_id,palabras_eliminadas,palabras_anadidas,L,R,G,C,comentario
RF-15,,La autenticación MFA (TOTP) es obligatoria para roles con capacidad de aprobar bajas y configurar precios (RFC-02 aprobado).,0,1,0,1,"R · Restricción añadida ✅ La oración añadida introduce una regla de seguridad obligatoria que no existía en T_A: la autenticación MFA (TOTP) pasa a ser exigida para los roles con privilegios sensibles (aprobar bajas, configurar precios). Esto añade una condición verificable y de cumplimiento obligatorio sobre el acceso → restricción añadida en su forma clara (regla + condición + alcance específico). C · Cosmético o referencial ✅ El fragmento ""(RFC-02 aprobado)"" es una referencia cruzada a una solicitud de cambio formalmente aprobada. Documenta la trazabilidad/origen del cambio sin aportar funcionalidad por sí mismo → puramente referencial. Tipos descartados"
RF-16,cada local en,Las operaciones offline pendientes de sincronización no se incluyen en el cálculo de stock visible hasta que se sincronicen.,0,1,0,1,"R · Restricción añadida ✅ La oración añadida introduce una regla de comportamiento nueva sobre el cálculo del stock: las operaciones offline pendientes quedan excluidas del stock visible hasta que se sincronicen. T_A no contemplaba el escenario de operación offline ni cómo afecta al stock; T_B lo especifica con una condición verificable → restricción añadida. C · Cosmético o referencial ⚠️ (con matiz) La supresión de ""en cada local"" es un cambio redaccional. Si el alcance del sistema es un contexto donde el local ya se sobreentiende o resulta irrelevante para la consulta, sería un simple ajuste de redacción → cosmético. Sin embargo, cabe una lectura más estricta: eliminar ""en cada local"" podría alterar la semántica — pasar de un stock segmentado por local a un stock global/agregado. Si esa es la intención, no sería un mero cambio cosmético sino una modificación de alcance funcional. Dado que el enunciado no lo aclara, lo señalo como ambigüedad: bajo la lectura conservadora (mera simplificación redaccional) es C; bajo la lectura de cambio de alcance, dejaría de ser puramente cosmético."
RF-17,aproximadas | para enriquecer la consulta | trazabilidad.,"como flujo alternativo del CU-01. El campo es opcional pero, si se ingresa, valida rango | latitud/longitud de Ecuador continental con precisión mínima de 10 metros (+/-0,0001 grados decimales).",1,1,0,0,"L · Léxico impreciso ✅ T_A usaba ""coordenadas geográficas aproximadas"", donde ""aproximadas"" es una expresión vaga — ¿qué tan aproximadas? ¿un kilómetro? ¿100 metros? T_B elimina esa imprecisión y la sustituye por una especificación de precisión concreta (10 metros / ±0,0001° decimales) → se elimina vaguedad léxica. R · Restricción añadida ✅ T_B introduce múltiples condiciones nuevas: Opcionalidad explícita: el campo es opcional (T_A no lo especificaba; podía inferirse, pero no estaba declarado). Validación de rango: latitud/longitud de Ecuador continental → umbral geográfico verificable. Precisión mínima: 10 metros / ±0,0001° decimales → umbral técnico verificable. Cada una de ellas es una restricción/condición/regla que no existía en T_A → restricción añadida."
RF-18,fechas.,"fechas, mostrando fecha de cambio, precio anterior, precio nuevo y usuario que lo modificó.",0,1,0,0,"R · Restricción añadida ✅ T_A indicaba que el sistema debe permitir consultar el histórico, pero no especificaba qué datos debía mostrar cada registro de ese histórico. T_B acota explícitamente cuatro campos obligatorios: fecha de cambio, precio anterior, precio nuevo y usuario que lo modificó. Esto añade condiciones verificables sobre el contenido de la consulta → restricción añadida."
RF-19,a la propietaria o al administrador general,No se permiten dos precios futuros con fechas de vigencia solapadas para el mismo tipo de producto.,0,1,1,0,"G · Agente ✅ T_A identificaba explícitamente a los agentes autorizados: ""la propietaria o al administrador general"". T_B elimina esa referencia, usando la construcción impersonal ""permitir configurar"" — una pasiva sin agente. Quién puede configurar precios queda indeterminado en T_B → cambio de agente (en este caso, ocultamiento del agente). R · Restricción añadida ✅ La oración añadida introduce una regla de negocio nueva y verificable: no se permiten dos precios futuros con fechas de vigencia solapadas para el mismo tipo de producto. T_A no contemplaba ninguna restricción sobre solapamientos → restricción añadida clara (regla + condición sobre datos)."
RF-20,"energía eléctrica,","energía,",0,0,0,1,"C · Cosmético o referencial ✅ La eliminación de ""eléctrica"" es un cambio puramente redaccional. En el contexto (incidentes que afectan cámaras de refrigeración y sustentan bajas de producto), ""corte de energía"" y ""corte de energía eléctrica"" son semánticamente equivalentes — la energía en cuestión es evidentemente la eléctrica. Suprimir el adjetivo no altera el significado ni el comportamiento del sistema → cosmético."
RF-21,conectividad.,"conectividad, en un máximo de 5 minutos. El modo offline se sostiene al menos 8 horas continuas. El fallback de MFA (pregunta de seguridad) está disponible en modo offline para los roles que lo requieren (RF-15).",0,1,0,1,"R · Restricción añadida ✅ T_B introduce tres restricciones/condiciones nuevas que no existían en T_A: Umbral temporal de sincronización: ""en un máximo de 5 minutos"" — condición verificable sobre el tiempo máximo de sincronización tras recuperar conectividad. Umbral de autonomía offline: ""al menos 8 horas continuas"" — condición verificable sobre la duración mínima del modo offline. Regla de autenticación fallback: MFA mediante pregunta de seguridad disponible en modo offline para roles que lo requieren — comportamiento y condición verificable nuevos. → Restricción añadida de forma clara y múltiple (umbrales + regla). C · Cosmético o referencial ✅ El fragmento ""(RF-15)"" es una referencia cruzada a otro requisito funcional. No añade comportamiento por sí mismo; solo documenta la trazabilidad del origen del cambio → puramente referencial."
RF-22,,El contador de vida útil del producto devuelto se conserva desde la fecha de ingreso original a cámara.,0,1,0,0,"R · Restricción añadida ✅ T_B introduce una regla de comportamiento nueva sobre cómo el sistema gestiona la vida útil de un producto devuelto. T_A solo indicaba que el producto se reingresa al inventario o se da de baja ""según su estado"", pero no especificaba qué ocurría con el contador de días de vida útil al reingresarlo — ¿se reiniciaba? ¿se congelaba? ¿se conservaba el conteo original? T_B elimina esa brecha estableciendo explícitamente que el contador se conserva desde la fecha de ingreso original → condición verificable añadida."
RF-23,su presentación,presentarla | El PDF incluye la firma veterinaria digitalizada (RFC-03 aprobado).,0,1,0,1,"R · Restricción añadida ✅ La oración añadida introduce una condición nueva sobre el contenido del PDF exportado: debe incluir la firma veterinaria digitalizada. T_A no especificaba que el PDF debiera contener ese elemento → condición verificable añadida sobre el resultado de la exportación. C · Cosmético o referencial ✅ Se combinan dos aspectos cosmético/referenciales: ""para su presentación"" → ""para presentarla"": reformulación gramatical sin cambio semántico alguno; ambas expresan la misma finalidad → cosmético. ""(RFC-03 aprobado)"": referencia cruzada a una solicitud de cambio aprobada, que documenta la trazabilidad del cambio → referencial."
RF-24,sección.,"sección, retornando resultados en menos de 2 segundos.",0,1,0,0,R · Restricción añadida ✅ T_B introduce un umbral de rendimiento cuantificable que no existía en T_A: la búsqueda debe retornar resultados en menos de 2 segundos. Esto es un requisito no funcional (de desempeño) que impone una condición verificable sobre la operación de búsqueda/filtrado → restricción añadida.
RF-25,consulta | (RF-11) | externa.,vista | externa (campos delimitados según RF-26).,0,1,0,1,"R · Restricción añadida ✅ T_B añade la cláusula ""campos delimitados según RF-26"", que introduce una condición nueva sobre qué campos son visibles en la consulta externa. T_A solo decía ""datos autorizados para consulta externa"" sin especificar cómo se delimitan; T_B establece explícitamente que los campos están delimitados según un requisito funcional específico (RF-26) → restricción añadida (remite a una regla externa verificable que acota el alcance de los datos visibles). C · Cosmético o referencial ✅ Se combinan varios aspectos: ""consulta pública"" → ""vista pública"": cambio redaccional sin alteración semántica relevante; ambos términos describen la misma funcionalidad de acceso externo a datos de trazabilidad → cosmético. ""(RF-11)"" eliminado: supresión de una referencia cruzada antigua → referencial. ""(campos delimitados según RF-26)"" añadido: aunque el componente ""campos delimitados"" es una restricción (R), la mención ""según RF-26"" es una referencia cruzada que documenta trazabilidad → referencial."
