rf_id,palabras_eliminadas,palabras_anadidas,L,R,G,C,comentario
RF-16,cada local en,Las operaciones offline pendientes de sincronización no se incluyen en el cálculo de stock visible hasta que se sincronicen.,0,1,0,0,"El cambio es R · Restricción añadida, porque incorpora una regla/condición nueva sobre el comportamiento del sistema: las operaciones offline pendientes no afectan el stock visible hasta sincronizarse."
RF-17,aproximadas | para enriquecer la consulta | trazabilidad.,"como flujo alternativo del CU-01. El campo es opcional pero, si se ingresa, valida rango | latitud/longitud de Ecuador continental con precisión mínima de 10 metros (+/-0,0001 grados decimales).",1,1,0,1,"L · Léxico impreciso: se reemplaza ""aproximadas"" por una precisión concreta. R · Restricción añadida: se añaden reglas de opcionalidad, validación de rango geográfico y umbral de precisión. C · Cosmético o referencial: se añade la referencia cruzada al CU-01."
RF-18,fechas.,"fechas, mostrando fecha de cambio, precio anterior, precio nuevo y usuario que lo modificó.",0,1,0,0,"El cambio es R · Restricción añadida, porque incorpora nuevos campos obligatorios a mostrar en la consulta del histórico (fecha de cambio, precio anterior, precio nuevo y usuario que lo modificó)."
RF-19,a la propietaria o al administrador general,No se permiten dos precios futuros con fechas de vigencia solapadas para el mismo tipo de producto.,0,1,1,0,R · Restricción añadida: se incorpora la regla de no solapamiento de precios futuros. G · Agente: se elimina la mención del agente autorizado (propietaria o administrador general) que ejecuta la acción.
RF-20,"energía eléctrica,","energía,",0,0,0,1,"El cambio es C · Cosmético o referencial, porque únicamente se modifica la redacción eliminando un adjetivo (""eléctrica""), sin afectar el contenido funcional del requisito."
RF-21,conectividad.,"conectividad, en un máximo de 5 minutos. El modo offline se sostiene al menos 8 horas continuas. El fallback de MFA (pregunta de seguridad) está disponible en modo offline para los roles que lo requieren (RF-15).",0,1,0,1,"R · Restricción añadida: se incorporan umbrales de tiempo (5 min de sincronización, 8 h de modo offline) y una regla nueva (fallback de MFA offline). C · Cosmético o referencial: se añade la referencia cruzada ""(RF-15)""."
RF-22,,El contador de vida útil del producto devuelto se conserva desde la fecha de ingreso original a cámara.,0,1,0,0,"El cambio es R · Restricción añadida, porque incorpora una regla/condición nueva: el contador de vida útil se conserva desde la fecha de ingreso original a cámara."
RF-23,su presentación,presentarla | El PDF incluye la firma veterinaria digitalizada (RFC-03 aprobado).,0,1,0,1,"R · Restricción añadida: se incorpora un requisito de contenido nuevo (el PDF debe incluir la firma veterinaria digitalizada). C · Cosmético o referencial: se añade la referencia cruzada ""(RFC-03 aprobado)"" y hay un cambio menor de redacción."
RF-24,sección.,"sección, retornando resultados en menos de 2 segundos.",0,1,0,0,"El cambio es R · Restricción añadida, porque incorpora un umbral de tiempo (""menos de 2 segundos"") que restringe el comportamiento del sistema."
RF-25,consulta | (RF-11) | externa.,vista | externa (campos delimitados según RF-26).,0,1,0,1,"R · Restricción añadida: se incorpora la condición de que los campos estén delimitados según RF-26 (regla sobre el contenido mostrado). C · Cosmético o referencial: se cambia la referencia cruzada de RF-11 a RF-26 y hay un cambio menor de redacción (""consulta"" → ""vista"")."
